温馨提示,#genre#
请自用勿贩卖,https://ghfast.top/https://raw.githubusercontent.com/AnonymousOrz/IPTV/main/Live/xinzhihuo.mp4
请自用勿贩卖,https://mpimg.cn/view.php/c2f23ba4d05ae0388e6543dcfd96ec55.mp4
请自用勿贩卖,https://cccimg.com/view.php/c2f23ba4d05ae0388e6543dcfd96ec55.mp4
请勿用于违法用途,https://mpimg.cn/view.php/761c19bd2505dc86f142f56f31e36667.mp4
请勿用于违法用途,https://cccimg.com/view.php/761c19bd2505dc86f142f56f31e36667.mp4
所有内容仅供学习使用,https://ghfast.top/https://raw.githubusercontent.com/AnonymousOrz/IPTV/main/Live/yuanliangzheshijie.mp4
所有内容仅供学习使用,https://mpimg.cn/view.php/689255f93c8a641c8541b63b980692b0.mp4
所有内容仅供学习使用,https://cccimg.com/view.php/689255f93c8a641c8541b63b980692b0.mp4

📺央视频道,#genre#
CCTV-1,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,rtmp://play.kankanlive.com/live/1698234869325962
CCTV-1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
CCTV-1,http://ygbh.site/php/bfgd.php?id=201
CCTV-1,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv1
CCTV-1,http://8.138.7.223/tv/dl/careryun.php?id=1
CCTV-1,http://8.138.7.223/tv/dl/douyincdn.php?id=1
CCTV-2,rtmp://play.kankanlive.com/live/1698234898628961
CCTV-2,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv2
CCTV-2,http://123.159.35.24:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.61:1025
CCTV-2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://36.36.200.198:44330/tsfile/live/0002_1.m3u8
CCTV-3,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv3
CCTV-3,http://222.134.245.16:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://ddns.cyruslee.top:8888/udp/239.77.0.169:5146
CCTV-3,http://61.184.46.85:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://tcpsit.vicp.net:8811/udp/225.1.8.88:8000
CCTV-3,http://111.194.11.30:8188/rtp/239.3.1.172:8001
CCTV-4,rtmp://play.kankanlive.com/live/1698234936258960
CCTV-4,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv4
CCTV-4,http://8.138.7.223/tv/dl/careryun.php?id=5
CCTV-4,http://8.138.7.223/tv/ysp8.php?id=4
CCTV-4,http://ms.fxim.net:808/hls/4/index.m3u8
CCTV-4,http://tvbox6.icu/tv/migu.php?id=cctv4a
CCTV-5,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv5
CCTV-5,http://8.138.7.223/tv/dl/douyincdn.php?id=5
CCTV-5,http://8.138.7.223/tv/dl/careryun.php?id=8
CCTV-5,http://222.134.245.16:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.121:1025
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5+,http://8.138.7.223/tv/mgitv.php?id=29
CCTV-5+,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv5p
CCTV-5+,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.58:1025
CCTV-5+,http://ddns.cyruslee.top:8888/udp/239.77.0.87:5146
CCTV-5+,http://222.134.245.16:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://111.194.11.30:8188/rtp/239.3.1.130:8004
CCTV-6,http://8.138.7.223/tv/dl/careryun.php?id=9
CCTV-6,http://8.138.7.223/tv/dl/douyincdn.php?id=6
CCTV-6,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv6
CCTV-6,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.122:1025
CCTV-6,http://tcpsit.vicp.net:8811/udp/225.1.8.84:8000
CCTV-6,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv6
CCTV-7,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv7
CCTV-7,http://8.138.7.223/tv/dl/careryun.php?id=10
CCTV-7,http://8.138.7.223/tv/dl/douyincdn.php?id=7
CCTV-7,http://tcpsit.vicp.net:8811/udp/225.1.8.7:8104
CCTV-7,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv7
CCTV-7,http://123.159.35.24:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv8
CCTV-8,http://8.138.7.223/tv/dl/careryun.php?id=11
CCTV-8,http://8.138.7.223/tv/dl/douyincdn.php?id=8
CCTV-8,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv8
CCTV-8,http://222.134.245.16:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://ddns.cyruslee.top:8888/udp/239.77.0.172:5146
