分类: 📺央视频道, 名称: CCTV-1, 有效: 10, IPv4: 393, IPv6: 0, 最小延迟: 434 ms, 最高速率: 8.71 M/s, 平均速率: 2.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 9, IPv4: 365, IPv6: 0, 最小延迟: 412 ms, 最高速率: 7.62 M/s, 平均速率: 2.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-3, 有效: 8, IPv4: 358, IPv6: 0, 最小延迟: 435 ms, 最高速率: 8.88 M/s, 平均速率: 2.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.70, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-4, 有效: 7, IPv4: 420, IPv6: 0, 最小延迟: 288 ms, 最高速率: 7.75 M/s, 平均速率: 4.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.54, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 有效: 10, IPv4: 407, IPv6: 0, 最小延迟: 288 ms, 最高速率: 7.67 M/s, 平均速率: 4.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.41, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5+, 有效: 4, IPv4: 199, IPv6: 0, 最小延迟: 969 ms, 最高速率: 3.41 M/s, 平均速率: 1.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 365, IPv6: 0, 最小延迟: 278 ms, 最高速率: 7.77 M/s, 平均速率: 4.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.82, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-7, 有效: 8, IPv4: 341, IPv6: 0, 最小延迟: 264 ms, 最高速率: 7.67 M/s, 平均速率: 2.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 7, IPv4: 361, IPv6: 0, 最小延迟: 262 ms, 最高速率: 10.52 M/s, 平均速率: 5.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 362, IPv6: 0, 最小延迟: 221 ms, 最高速率: 6.42 M/s, 平均速率: 3.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.87, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-10, 有效: 10, IPv4: 356, IPv6: 0, 最小延迟: 298 ms, 最高速率: 2.66 M/s, 平均速率: 1.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: mp2
