咪咕,#genre#
浙江卫视4K,http://119.166.170.23:4001/udp/239.253.242.27:8000
湖南卫视4K,http://119.166.170.23:4001/udp/239.253.242.28:8000
深圳卫视4K,http://119.166.170.23:4001/udp/239.253.242.61:8000
广东卫视4K,http://119.166.170.23:4001/udp/239.253.242.108:8000
四川卫视4K,http://119.166.170.23:4001/udp/239.253.242.123:8000
东方卫视4K,http://119.166.170.23:4001/udp/239.253.242.176:8000
北京卫视4K,http://119.166.170.23:4001/udp/239.253.242.200:8000
CCTV1,http://119.166.170.23:4001/udp/239.253.254.77:8000
CCTV2,http://119.166.170.23:4001/udp/239.253.254.232:8000
CCTV3,http://119.166.170.23:4001/udp/239.253.254.191:8000
CCTV4,http://119.166.170.23:4001/udp/239.253.254.111:8000
CCTV4,http://119.166.170.23:4001/udp/239.253.254.186:8000
CCTV4,http://119.166.170.23:4001/udp/239.253.254.187:8000
CCTV5,http://119.166.170.23:4001/udp/239.253.254.192:8000
CCTV5+,http://119.166.170.23:4001/udp/239.253.254.80:8000
CCTV6,http://119.166.170.23:4001/udp/239.253.254.193:8000
CCTV7,http://119.166.170.23:4001/udp/239.253.254.233:8000
CCTV8,http://119.166.170.23:4001/udp/239.253.254.194:8000
CCTV9,http://119.166.170.23:4001/udp/239.253.254.79:8000
CCTV10,http://119.166.170.23:4001/udp/239.253.254.234:8000
CCTV11,http://119.166.170.23:4001/udp/239.253.254.169:8000
CCTV12,http://119.166.170.23:4001/udp/239.253.254.235:8000
CCTV13,http://119.166.170.23:4001/udp/239.253.254.175:8000
CCTV14,http://119.166.170.23:4001/udp/239.253.254.236:8000
CCTV15,http://119.166.170.23:4001/udp/239.253.254.170:8000
CCTV17,http://119.166.170.23:4001/udp/239.253.254.168:8000
CETV1,http://119.166.170.23:4001/udp/239.253.254.110:8000
CETV4,http://119.166.170.23:4001/udp/239.253.254.116:8000
CGTN,http://119.166.170.23:4001/udp/239.253.254.182:8000
CGTN,http://119.166.170.23:4001/udp/239.253.254.183:8000
CGTN,http://119.166.170.23:4001/udp/239.253.254.184:8000
CGTN,http://119.166.170.23:4001/udp/239.253.254.185:8000
CGTN,http://119.166.170.23:4001/udp/239.253.254.188:8000
CGTN,http://119.166.170.23:4001/udp/239.253.254.189:8000
CHC动作电影,http://119.166.170.23:4001/udp/239.253.254.153:8000
CHC高清电影,http://119.166.170.23:4001/udp/239.253.254.154:8000
CHC家庭影院,http://119.166.170.23:4001/udp/239.253.254.152:8000
安徽卫视,http://119.166.170.23:4001/udp/239.253.254.87:8000
北京卫视,http://119.166.170.23:4001/udp/239.253.254.85:8000
茶频道,http://119.166.170.23:4001/udp/239.253.254.143:8000
东方财经,http://119.166.170.23:4001/udp/239.253.254.94:8000
东方卫视,http://119.166.170.23:4001/udp/239.253.254.86:8000
东南卫视,http://119.166.170.23:4001/udp/239.253.254.105:8000
动漫秀场,http://119.166.170.23:4001/udp/239.253.254.115:8000
都市剧场,http://119.166.170.23:4001/udp/239.253.254.98:8000
法治天地,http://119.166.170.23:4001/udp/239.253.254.96:8000
甘肃卫视,http://119.166.170.23:4001/udp/239.253.254.74:8000
广东卫视,http://119.166.170.23:4001/udp/239.253.254.90:8000
广西卫视,http://119.166.170.23:4001/udp/239.253.254.197:8000
贵州卫视,http://119.166.170.23:4001/udp/239.253.254.113:8000
海南卫视,http://119.166.170.23:4001/udp/239.253.254.179:8000
海洋,http://119.166.170.23:4001/udp/239.253.254.67:8000
河北卫视,http://119.166.170.23:4001/udp/239.253.254.112:8000
河南卫视,http://119.166.170.23:4001/udp/239.253.254.190:8000
黑龙江卫视,http://119.166.170.23:4001/udp/239.253.254.93:8000
湖北卫视,http://119.166.170.23:4001/udp/239.253.254.88:8000
湖南卫视,http://119.166.170.23:4001/udp/239.253.254.82:8000
吉林卫视,http://119.166.170.23:4001/udp/239.253.254.173:8000
江苏卫视,http://119.166.170.23:4001/udp/239.253.254.83:8000
江西卫视,http://119.166.170.23:4001/udp/239.253.254.47:8000
金色学堂,http://119.166.170.23:4001/udp/239.253.254.101:8000
金鹰纪实,http://119.166.170.23:4001/udp/239.253.254.103:8000
金鹰卡通,http://119.166.170.23:4001/udp/239.253.254.117:8000
精彩电影,http://119.166.170.23:4001/udp/239.253.254.142:8000
卡酷少儿,http://119.166.170.23:4001/udp/239.253.254.66:8000
莱西,http://119.166.170.23:4001/udp/239.253.254.247:8000
崂山,http://119.166.170.23:4001/udp/239.253.254.242:8000
梨园,http://119.166.170.23:4001/udp/239.253.254.139:8000
辽宁卫视,http://119.166.170.23:4001/udp/239.253.254.92:8000
魅力足球,http://119.166.170.23:4001/udp/239.253.254.100:8000
平度,http://119.166.170.23:4001/udp/239.253.254.248:8000
青岛李沧,http://119.166.170.23:4001/udp/239.253.254.249:8000
青岛李沧,http://119.166.170.23:4001/udp/239.253.254.250:8000
青岛李沧,http://119.166.170.23:4001/udp/239.253.254.251:8000
青岛李沧,http://119.166.170.23:4001/udp/239.253.254.252:8000
青岛李沧,http://119.166.170.23:4001/udp/239.253.254.253:8000
青岛生活,http://119.166.170.23:4001/udp/239.253.254.244:8000
青岛综合,http://119.166.170.23:4001/udp/239.253.254.243:8000
青海卫视,http://119.166.170.23:4001/udp/239.253.254.195:8000
山东购物,http://119.166.170.23:4001/udp/239.253.254.104:8000
山东教育,http://119.166.170.23:4001/udp/239.253.254.59:8000
山东农科,http://119.166.170.23:4001/udp/239.253.254.24:8000
山东齐鲁,http://119.166.170.23:4001/udp/239.253.254.114:8000
山东少儿,http://119.166.170.23:4001/udp/239.253.254.25:8000
山东生活,http://119.166.170.23:4001/udp/239.253.254.151:8000
山东体育,http://119.166.170.23:4001/udp/239.253.254.22:8000
山东卫视,http://119.166.170.23:4001/udp/239.253.254.78:8000
山东文旅,http://119.166.170.23:4001/udp/239.253.254.160:8000
山东新闻,http://119.166.170.23:4001/udp/239.253.254.23:8000
山东综艺,http://119.166.170.23:4001/udp/239.253.254.159:8000
深圳卫视,http://119.166.170.23:4001/udp/239.253.254.91:8000
生活时尚,http://119.166.170.23:4001/udp/239.253.254.99:8000
四川卫视,http://119.166.170.23:4001/udp/239.253.254.180:8000
四海钓鱼,http://119.166.170.23:4001/udp/239.253.254.109:8000
四海钓鱼,http://119.166.170.23:4001/udp/239.253.254.144:8000
