斗鱼电影,#genre#

【成龙】,https://goodiptv.club/douyu/3379942
神乐1,https://goodiptv.club/douyu/122402
神乐2,https://goodiptv.club/douyu/85894
神乐3,https://goodiptv.club/douyu/20415
粤语电影,https://goodiptv.club/douyu/1226741
小粤儿轮播,https://goodiptv.club/douyu/5033502
邵氏影院,https://goodiptv.club/douyu/4246519
【久久】林正英,https://goodiptv.club/douyu/8371123
(小毅）小毅剧场点播,https://goodiptv.club/douyu/6906628
【奇光】影视剧点播剧场,https://goodiptv.club/douyu/8009547
【旧知】轮播,https://goodiptv.club/douyu/310926
怀旧经典影视汇,https://goodiptv.club/douyu/12143022
橙記港剧,https://goodiptv.club/douyu/4549169
冰冰小剧场,https://goodiptv.club/douyu/74374
【贝贝】经典,https://goodiptv.club/douyu/431460
❤️怡寶❤️港台,https://goodiptv.club/douyu/434971
【女神金】轮播,https://goodiptv.club/douyu/747764
贝爷MAX厅,https://goodiptv.club/douyu/4332
【静静】经典电影,https://goodiptv.club/douyu/5668371
4K超高清影视,https://goodiptv.club/douyu/12632716
经典老剧轮播,https://goodiptv.club/douyu/12015111
幸福的童年治愈一生，不幸的童年用一生治,https://goodiptv.club/douyu/1487654
【西关大院】粤语学习,https://goodiptv.club/douyu/11878141
【萌小鬼】剧,https://goodiptv.club/douyu/3928
【神 剧】的直播间,https://goodiptv.club/douyu/3439096
【悍匪】技术学院,https://goodiptv.club/douyu/922564
【神 剧】,https://goodiptv.club/douyu/5875025
鼎香楼的故事,https://goodiptv.club/douyu/299854
牛叔说电影,https://goodiptv.club/douyu/2758565
【智仗心】轮播,https://goodiptv.club/douyu/5635000
尛瀦瀦港剧,https://goodiptv.club/douyu/4290711
尛瀦瀦港剧2,https://goodiptv.club/douyu/5522351
梦猪猪港剧,https://goodiptv.club/douyu/5261342
师落古装,https://goodiptv.club/douyu/6911044
❤️【经典】 ❤️,https://goodiptv.club/douyu/6091425
【米尼影院】经典电视剧,https://goodiptv.club/douyu/7642724
【动作】武侠 经典 古装,https://goodiptv.club/douyu/2793084

三国演义,https://goodiptv.club/douyu/7459925
新三国,https://goodiptv.club/douyu/5908256
三丶国,https://goodiptv.club/douyu/428402
三国,https://goodiptv.club/douyu/12253936
狄仁杰,https://goodiptv.club/douyu/6027991
狄大人,https://goodiptv.club/douyu/12442176
「狄仁杰」,https://goodiptv.club/douyu/12183882
庆余年,https://goodiptv.club/douyu/7812810
金庸经典,https://goodiptv.club/douyu/12128227
阿七KTV,https://goodiptv.club/douyu/3186217
斗鱼音乐MV频道,https://goodiptv.club/douyu/3870925
周杰伦KTV,https://goodiptv.club/douyu/7537296
斗鱼舞台,https://goodiptv.club/douyu/11531165

斗鱼欣赏,#genre#
【成龙】,https://live.metshop.top/douyu/3379942
神乐1,https://live.metshop.top/douyu/122402
神乐2,https://live.metshop.top/douyu/85894
神乐3,https://live.metshop.top/douyu/6566671
粤语电影,https://live.metshop.top/douyu/1226741
小粤儿轮播,https://live.metshop.top/douyu/5033502
神乐4,https://live.metshop.top/douyu/20415
邵氏影院,https://live.metshop.top/douyu/4246519
斗鱼林正英,https://live.metshop.top/douyu/218859
【久久】林正英,https://live.metshop.top/douyu/8371123
(小毅)林正英,https://live.metshop.top/douyu/6906628
[奇光]林正英,https://live.metshop.top/douyu/8009547
恐怖电影,https://live.metshop.top/douyu/310926
恐怖惊悚,https://live.metshop.top/douyu/96577
港剧经典,https://live.metshop.top/douyu/315457
怀旧经典影视汇,https://live.metshop.top/douyu/12143022
橙記港剧,https://live.metshop.top/douyu/4549169
喜剧电影,https://live.metshop.top/douyu/428402
华语喜剧,https://live.metshop.top/douyu/276200
冰冰小剧场,https://live.metshop.top/douyu/74374
【贝贝】经典,https://live.metshop.top/douyu/431460
❤️怡寶❤️港台,https://live.metshop.top/douyu/434971
【女神金】轮播,https://live.metshop.top/douyu/747764
贝爷影厅,https://live.metshop.top/douyu/252802
贝爷MAX厅,https://live.metshop.top/douyu/4332
小宇轮播,https://live.metshop.top/douyu/323876
【静静】经典电影,https://live.metshop.top/douyu/5668371
豆瓣高分,https://live.metshop.top/douyu/8770422
译制国语,https://live.metshop.top/douyu/2436390
三国演义,https://live.metshop.top/douyu/7459925
新三国,https://live.metshop.top/douyu/5908256
狄仁杰,https://live.metshop.top/douyu/11391949
庆余年✨,https://live.metshop.top/douyu/5062195
鹿鼎记陈小春,https://live.metshop.top/douyu/11854896
金庸武侠,https://live.metshop.top/douyu/338759
生活大爆炸,https://live.metshop.top/douyu/6668627
阿七KTV,https://live.metshop.top/douyu/3186217
神乐KTV,https://live.metshop.top/douyu/6557037
斗鱼音乐MV频道,https://live.metshop.top/douyu/3870925
周杰伦KTV,https://live.metshop.top/douyu/7537296
斗鱼舞台,https://live.metshop.top/douyu/11531165



【成龙】,https://www.goodiptv.club/douyu/3379942
神乐1,https://www.goodiptv.club/douyu/122402
神乐2,https://www.goodiptv.club/douyu/85894
神乐3,https://www.goodiptv.club/douyu/6566671
粤语电影,https://www.goodiptv.club/douyu/1226741
小粤儿轮播,https://www.goodiptv.club/douyu/5033502
神乐4,https://www.goodiptv.club/douyu/20415
邵氏影院,https://www.goodiptv.club/douyu/4246519
斗鱼林正英,https://www.goodiptv.club/douyu/218859
【久久】林正英,https://www.goodiptv.club/douyu/8371123
(小毅)林正英,https://www.goodiptv.club/douyu/6906628
[奇光]林正英,https://www.goodiptv.club/douyu/8009547
恐怖电影,https://www.goodiptv.club/douyu/310926
恐怖惊悚,https://www.goodiptv.club/douyu/96577
港剧经典,https://www.goodiptv.club/douyu/315457
怀旧经典影视汇,https://www.goodiptv.club/douyu/12143022
橙記港剧,https://www.goodiptv.club/douyu/4549169
喜剧电影,https://www.goodiptv.club/douyu/428402
华语喜剧,https://www.goodiptv.club/douyu/276200
冰冰小剧场,https://www.goodiptv.club/douyu/74374
【贝贝】经典,https://www.goodiptv.club/douyu/431460
❤️怡寶❤️港台,https://www.goodiptv.club/douyu/434971
【女神金】轮播,https://www.goodiptv.club/douyu/747764
贝爷影厅,https://www.goodiptv.club/douyu/252802
贝爷MAX厅,https://www.goodiptv.club/douyu/4332
小宇轮播,https://www.goodiptv.club/douyu/323876
【静静】经典电影,https://www.goodiptv.club/douyu/5668371
豆瓣高分,https://www.goodiptv.club/douyu/8770422
译制国语,https://www.goodiptv.club/douyu/2436390
三国演义,https://www.goodiptv.club/douyu/7459925
新三国,https://www.goodiptv.club/douyu/5908256
狄仁杰,https://www.goodiptv.club/douyu/11391949
庆余年✨,https://www.goodiptv.club/douyu/5062195
鹿鼎记陈小春,https://www.goodiptv.club/douyu/11854896
金庸武侠,https://www.goodiptv.club/douyu/338759
生活大爆炸,https://www.goodiptv.club/douyu/6668627
阿七KTV,https://www.goodiptv.club/douyu/3186217
神乐KTV,https://www.goodiptv.club/douyu/6557037
斗鱼音乐MV频道,https://www.goodiptv.club/douyu/3870925
周杰伦KTV,https://www.goodiptv.club/douyu/7537296
斗鱼舞台,https://www.goodiptv.club/douyu/11531165

虎牙频道,#genre#
周星星,https://live.metshop.top/huya/11342412
周星星粤语经典版~,https://live.metshop.top/huya/11336587
【林正英】,https://live.metshop.top/huya/25256065
英叔鬼片~胆小勿入!,https://live.metshop.top/huya/30527430
林正英 搞笑惊悚恐怖电影,https://live.metshop.top/huya/29551429
英叔护体 | 林正英搞笑僵尸系列,https://live.metshop.top/huya/11342421
刘德华电影_经典系列,https://live.metshop.top/huya/11342424
邱淑贞太好看了吧❤,https://live.metshop.top/huya/11352949
【女神系列】,https://live.metshop.top/huya/11336571
喜剧专场 看喜剧笑一笑吧,https://live.metshop.top/huya/11352894
【古天乐】古仔帅气开打,https://live.metshop.top/huya/29982675
李连杰系列 武打高产王,https://live.metshop.top/huya/11342390
甄子丹 我要打十个,https://live.metshop.top/huya/11352935
周润发电影 小马哥归来,https://live.metshop.top/huya/11342387
【虎牙影院】沈腾经典片放映,https://live.metshop.top/huya/11601968
简小熙赌片,https://live.metshop.top/huya/11342399
电影_怪兽,https://live.metshop.top/huya/21059577
电影_武侠,https://live.metshop.top/huya/11342427
电影_警匪,https://live.metshop.top/huya/11352886
电影_罪犯,https://live.metshop.top/huya/11352962
电影_枪战,https://live.metshop.top/huya/21059579
电影_海盗,https://live.metshop.top/huya/21059595
电影_赛车,https://live.metshop.top/huya/11279247
电影_推荐,https://live.metshop.top/huya/11602041
电影_救援,https://live.metshop.top/huya/21059594
电影_热血,https://live.metshop.top/huya/11352934
电影_盗墓,https://live.metshop.top/huya/21059552
电影_贺岁,https://live.metshop.top/huya/11601971
电影_玄幻,https://live.metshop.top/huya/11342414
电影_谍战,https://live.metshop.top/huya/21059585
电影_战争,https://live.metshop.top/huya/21059592
电影_喜剧,https://live.metshop.top/huya/11352877
电影_港片,https://live.metshop.top/huya/11602043
电影_国产,https://live.metshop.top/huya/11352973
神貂侠侣·陈晓陈妍希再塑经典,https://live.metshop.top/huya/11352964


列表更新时间,#genre#
2026-03-30 06:22:00,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/time/time.mp4
4K频道,#genre#
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/sdr4kvideo/playlist.m3u8
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/hlg4kvideo/playlist.m3u8
一起看,#genre#
橙記Orange丶,https://goodiptv.club/douyu/4549169
十七岁的道姑,https://goodiptv.club/douyu/3186217
baby丶贝贝,https://goodiptv.club/douyu/431460
怡宝妹妹丶,https://goodiptv.club/douyu/434971
小毅主播q,https://goodiptv.club/douyu/6906628
奇光主播q,https://goodiptv.club/douyu/12560807
奇光主播R,https://goodiptv.club/douyu/12080172
小毅主播A,https://goodiptv.club/douyu/12780285
奇光主播e,https://goodiptv.club/douyu/11849873
小毅主播G,https://goodiptv.club/douyu/12811933
原创IP,#genre#
周杰伦颜老师,https://goodiptv.club/douyu/7537296
一起看,#genre#
龍組队长天昊,https://goodiptv.club/douyu/1487654
奇光主播,https://goodiptv.club/douyu/8009547
苹果Zei妖,https://goodiptv.club/douyu/2793084
竹叶的熊猫,https://goodiptv.club/douyu/3870925
伊太刀刀,https://goodiptv.club/douyu/747764
蕃薯粥粥煮好了,https://goodiptv.club/douyu/11878141
Poison丶冰冰,https://goodiptv.club/douyu/74374
粤语电影丶,https://goodiptv.club/douyu/1226741
